Name,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925
Navy,None,None,None,None,None,None,None,None,None,None,Ind,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind
Widener,None,None,None,None,None,None,None,None,None,None,Ind,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Racine,None,None,None,None,None,None,None,None,None,None,Ind,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Transylvania,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,None,None,None,None,None,None,None,None,KIAA,SIAA/KIAA,SIAA,None,None,SIAA,SIAA,SIAA,SIAA,SIAA,None,None
Centre,None,None,None,None,None,None,None,None,None,None,None,Ind,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,None,Ind,None,Ind,None,None,None,None,None,None,None,None,None,Ind,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA/KIAA,SIAA,Ind,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA
MIT,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,None,None,None,Ind,NEIFA,NEIFA,NEIFA,NEIFA,NEIFA,None,Ind,Ind,Ind,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Richmond,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,None,Ind,Ind,Ind,Ind,Ind,Ind,None,None,Ind,None,None,EVIAA,EVIAA,EVIAA,None,EVIAA,EVIAA,SAIAA/EVIAA,SAIAA/EVIAA,SAIAA/EVIAA,SAIAA/EVIAA,SAIAA,SAIAA,SAIAA,SAIAA,Ind,Ind,Ind,Ind
Georgetown,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,Ind,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,None,Ind,Ind,Ind,SAIAA,SAIAA,SAIAA,SAIAA,SAIAA,SAIAA,SAIAA,SAIAA,SAIAA,SAIAA,Ind,Ind,Ind,Ind
Penn State,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,None,None,None,None,Ind,Ind,None,Ind,PIFA,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind
George Washington,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,None,None,None,None,None,Ind,Ind,None,None,None,None,Ind,Ind,Ind,Ind,None,None,None,Ind,Ind,None,Ind,Ind,Ind,Ind,Ind,Ind,None,None,None,None,None,SAIAA,None,None,None,SAIAA,SAIAA,Ind,Ind,Ind,Ind
Dartmouth,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,None,Ind,NEIFA,NEIFA,NEIFA,NEIFA,NEIFA,NEIFA,NEIFA,NEIFA,NEIFA,NEIFA,NEIFA,NEIFA,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind
Kentucky,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,Ind,Ind,Ind,Ind,Ind,Ind,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,Ind,Ind,SIAA,SIAA,SIAA,SoCon,SoCon,SoCon,SoCon
Bucknell,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,Ind,None,None,None,Ind,Ind,Ind,Ind,PIFA,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind
Randolph-Macon,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,None,None,None,Ind,None,Ind,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,EVIAA,EVIAA,EVIAA,None,EVIAA,EVIAA,EVIAA,EVIAA,EVIAA,EVIAA,None,None,None,None,None,None,None,None
Colorado College,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,None,Ind,Ind,None,None,None,CIAC,None,None,None,CIAC,CIAC,CIAC,CIAC,CIAC,CIAC,CIAC,CIAC,CIAC,CIAC,CIAC,None,CIAC,CIAC,CIAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC
